a,-0.104571186,
c,0.8695158,
;,9783.454159492301,
+,0.0,
<,1.84315,
>,0.0,
ENTR,0.01,
REW,-2.312166666666667,
lr,0.0001,
a,0.06692454,
c,0.409167,
;,9773.047552888123,
+,0.0,
<,1.92215,
>,0.0,
ENTR,0.01,
REW,-2.3466666666666662,
lr,0.0001,
a,-0.11118901,
c,0.3110432,
;,10001.988374563189,
+,0.0,
<,1.92215,
>,0.0,
ENTR,0.01,
REW,-2.5993333333333335,
lr,0.0001,
a,-0.42824367,
c,0.24788375,
;,11448.610109448748,
+,0.0,
<,3.62455,
>,0.0,
ENTR,0.01,
REW,-8.591833333333334,
lr,0.0001,
a,0.05878316,
c,0.12473227,
;,10552.362222355903,
+,0.0,
<,3.62455,
>,0.0,
ENTR,0.01,
REW,-8.222833333333334,
lr,0.0001,
a,0.15196894,
c,0.26868114,
;,10142.33553704716,
+,0.0,
<,3.5436,
>,0.0,
ENTR,0.01,
REW,-7.179499999999999,
lr,0.0001,
a,0.6436756,
c,0.23177347,
;,9929.529695791929,
+,0.0,
<,3.48985,
>,0.0,
ENTR,0.01,
REW,-7.043,
lr,0.0001,
a,-0.13722065,
c,0.22667345,
;,9717.591301915048,
+,0.0,
<,3.5436,
>,0.0,
ENTR,0.01,
REW,-5.719166666666666,
lr,0.0001,
a,0.6937995,
c,0.09085193,
;,9464.083478110422,
+,0.0,
<,3.08185,
>,0.0,
ENTR,0.01,
REW,-2.803166666666667,
lr,0.0001,
a,-0.077227525,
c,0.25189093,
;,8749.363318266462,
+,0.0,
<,1.92215,
>,0.0,
ENTR,0.01,
REW,-1.6769999999999998,
lr,0.0001,
a,-0.12647402,
c,0.31294894,
;,9517.277853633244,
+,0.0,
<,1.92215,
>,0.0,
ENTR,0.01,
REW,-2.1021666666666667,
lr,0.0001,
a,-0.8322668,
c,0.11924945,
;,9440.539728356849,
+,0.0,
<,1.9387,
>,0.0,
ENTR,0.01,
REW,-2.3614999999999995,
lr,0.0001,
a,0.021112945,
c,0.18095009,
;,9708.003953708243,
+,0.0,
<,2.22965,
>,0.0,
ENTR,0.01,
REW,-2.662333333333333,
